paper,yield_pct,reaction_class,solvent,reactor_type,paper_doi,paper_year,tR_step,tR1_s,tR2_s,T1_C,T2_C,substrate1,organolithium_reagent,intermediate,substrate2_electrophile,electrophile_type,product_final,conc_substrate_M,conc_orgLi_M,equiv_orgLi,conc_electrophile_M,substrate1_smiles,organolithium_smiles,intermediate_smiles,substrate2_smiles,product_smiles,vlm_tR1_s_original,vlm_tR2_s_original,yield_yolo,data_note
Nagaki et al. 2008 - Aryllithium compounds bearing alkoxycarbonyl groups - generation and reactions using a microflow system,48.0,halogen-metal exchange,tetrahydrofuran,microtube reactor R1,10.1002/anie.200803205,2008.0,tR1,0.38905,,-30.0,,ethyl o-bromobenzoate,s-BuLi,ethyl o-(lithio)benzoate,ROH (alcohol quench),quench_probe,ethyl benzoate,0.1,0.42,1.1,,CCOC(=O)c1ccccc1Br,CCC([Li])C,CCOC(=O)c1ccccc1[Li],CO,CCOC(=O)c1ccccc1,1.0,,48.0,
Nagaki et al. 2008 - Aryllithium compounds bearing alkoxycarbonyl groups - generation and reactions using a microflow system,38.0,halogen-metal exchange,tetrahydrofuran,microtube reactor R1,10.1002/anie.200803205,2008.0,tR1,0.79433,,-30.0,,ethyl o-bromobenzoate,s-BuLi,ethyl o-(lithio)benzoate,ROH (alcohol quench),quench_probe,ethyl benzoate,0.1,0.42,1.1,,CCOC(=O)c1ccccc1Br,CCC([Li])C,CCOC(=O)c1ccccc1[Li],CO,CCOC(=O)c1ccccc1,3.16,,38.0,
Nagaki et al. 2008 - Aryllithium compounds bearing alkoxycarbonyl groups - generation and reactions using a microflow system,10.0,halogen-metal exchange,tetrahydrofuran,microtube reactor R1,10.1002/anie.200803205,2008.0,tR1,5.62341,,-30.0,,ethyl o-bromobenzoate,s-BuLi,ethyl o-(lithio)benzoate,ROH (alcohol quench),quench_probe,ethyl benzoate,0.1,0.42,1.1,,CCOC(=O)c1ccccc1Br,CCC([Li])C,CCOC(=O)c1ccccc1[Li],CO,CCOC(=O)c1ccccc1,31.6,,10.0,
Nagaki et al. 2008 - Aryllithium compounds bearing alkoxycarbonyl groups - generation and reactions using a microflow system,64.0,halogen-metal exchange,tetrahydrofuran,microtube reactor R1,10.1002/anie.200803205,2008.0,tR1,0.01334,,-50.0,,ethyl o-bromobenzoate,s-BuLi,ethyl o-(lithio)benzoate,ROH (alcohol quench),quench_probe,ethyl benzoate,0.1,0.42,1.1,,CCOC(=O)c1ccccc1Br,CCC([Li])C,CCOC(=O)c1ccccc1[Li],CO,CCOC(=O)c1ccccc1,0.0316,,64.0,
Nagaki et al. 2008 - Aryllithium compounds bearing alkoxycarbonyl groups - generation and reactions using a microflow system,90.0,halogen-metal exchange,tetrahydrofuran,microtube reactor R1,10.1002/anie.200803205,2008.0,tR1,0.05623,,-50.0,,ethyl o-bromobenzoate,s-BuLi,ethyl o-(lithio)benzoate,ROH (alcohol quench),quench_probe,ethyl benzoate,0.1,0.42,1.1,,CCOC(=O)c1ccccc1Br,CCC([Li])C,CCOC(=O)c1ccccc1[Li],CO,CCOC(=O)c1ccccc1,0.1,,90.0,
Nagaki et al. 2008 - Aryllithium compounds bearing alkoxycarbonyl groups - generation and reactions using a microflow system,86.0,halogen-metal exchange,tetrahydrofuran,microtube reactor R1,10.1002/anie.200803205,2008.0,tR1,0.19953,,-50.0,,ethyl o-bromobenzoate,s-BuLi,ethyl o-(lithio)benzoate,ROH (alcohol quench),quench_probe,ethyl benzoate,0.1,0.42,1.1,,CCOC(=O)c1ccccc1Br,CCC([Li])C,CCOC(=O)c1ccccc1[Li],CO,CCOC(=O)c1ccccc1,0.316,,86.0,
Nagaki et al. 2008 - Aryllithium compounds bearing alkoxycarbonyl groups - generation and reactions using a microflow system,80.0,halogen-metal exchange,tetrahydrofuran,microtube reactor R1,10.1002/anie.200803205,2008.0,tR1,0.38905,,-50.0,,ethyl o-bromobenzoate,s-BuLi,ethyl o-(lithio)benzoate,ROH (alcohol quench),quench_probe,ethyl benzoate,0.1,0.42,1.1,,CCOC(=O)c1ccccc1Br,CCC([Li])C,CCOC(=O)c1ccccc1[Li],CO,CCOC(=O)c1ccccc1,1.0,,80.0,
Nagaki et al. 2008 - Aryllithium compounds bearing alkoxycarbonyl groups - generation and reactions using a microflow system,77.0,halogen-metal exchange,tetrahydrofuran,microtube reactor R1,10.1002/anie.200803205,2008.0,tR1,0.79433,,-50.0,,ethyl o-bromobenzoate,s-BuLi,ethyl o-(lithio)benzoate,ROH (alcohol quench),quench_probe,ethyl benzoate,0.1,0.42,1.1,,CCOC(=O)c1ccccc1Br,CCC([Li])C,CCOC(=O)c1ccccc1[Li],CO,CCOC(=O)c1ccccc1,3.16,,77.0,
Nagaki et al. 2008 - Aryllithium compounds bearing alkoxycarbonyl groups - generation and reactions using a microflow system,43.0,halogen-metal exchange,tetrahydrofuran,microtube reactor R1,10.1002/anie.200803205,2008.0,tR1,5.62341,,-50.0,,ethyl o-bromobenzoate,s-BuLi,ethyl o-(lithio)benzoate,ROH (alcohol quench),quench_probe,ethyl benzoate,0.1,0.42,1.1,,CCOC(=O)c1ccccc1Br,CCC([Li])C,CCOC(=O)c1ccccc1[Li],CO,CCOC(=O)c1ccccc1,31.6,,43.0,
Nagaki et al. 2008 - Aryllithium compounds bearing alkoxycarbonyl groups - generation and reactions using a microflow system,56.0,halogen-metal exchange,tetrahydrofuran,microtube reactor R1,10.1002/anie.200803205,2008.0,tR1,0.01334,,-60.0,,ethyl o-bromobenzoate,s-BuLi,ethyl o-(lithio)benzoate,ROH (alcohol quench),quench_probe,ethyl benzoate,0.1,0.42,1.1,,CCOC(=O)c1ccccc1Br,CCC([Li])C,CCOC(=O)c1ccccc1[Li],CO,CCOC(=O)c1ccccc1,0.0316,,56.0,
Nagaki et al. 2008 - Aryllithium compounds bearing alkoxycarbonyl groups - generation and reactions using a microflow system,88.0,halogen-metal exchange,tetrahydrofuran,microtube reactor R1,10.1002/anie.200803205,2008.0,tR1,0.05623,,-60.0,,ethyl o-bromobenzoate,s-BuLi,ethyl o-(lithio)benzoate,ROH (alcohol quench),quench_probe,ethyl benzoate,0.1,0.42,1.1,,CCOC(=O)c1ccccc1Br,CCC([Li])C,CCOC(=O)c1ccccc1[Li],CO,CCOC(=O)c1ccccc1,0.1,,88.0,
Nagaki et al. 2008 - Aryllithium compounds bearing alkoxycarbonyl groups - generation and reactions using a microflow system,82.0,halogen-metal exchange,tetrahydrofuran,microtube reactor R1,10.1002/anie.200803205,2008.0,tR1,0.19953,,-60.0,,ethyl o-bromobenzoate,s-BuLi,ethyl o-(lithio)benzoate,ROH (alcohol quench),quench_probe,ethyl benzoate,0.1,0.42,1.1,,CCOC(=O)c1ccccc1Br,CCC([Li])C,CCOC(=O)c1ccccc1[Li],CO,CCOC(=O)c1ccccc1,0.316,,82.0,
Nagaki et al. 2008 - Aryllithium compounds bearing alkoxycarbonyl groups - generation and reactions using a microflow system,77.0,halogen-metal exchange,tetrahydrofuran,microtube reactor R1,10.1002/anie.200803205,2008.0,tR1,0.38905,,-60.0,,ethyl o-bromobenzoate,s-BuLi,ethyl o-(lithio)benzoate,ROH (alcohol quench),quench_probe,ethyl benzoate,0.1,0.42,1.1,,CCOC(=O)c1ccccc1Br,CCC([Li])C,CCOC(=O)c1ccccc1[Li],CO,CCOC(=O)c1ccccc1,1.0,,77.0,
Nagaki et al. 2008 - Aryllithium compounds bearing alkoxycarbonyl groups - generation and reactions using a microflow system,78.0,halogen-metal exchange,tetrahydrofuran,microtube reactor R1,10.1002/anie.200803205,2008.0,tR1,0.79433,,-60.0,,ethyl o-bromobenzoate,s-BuLi,ethyl o-(lithio)benzoate,ROH (alcohol quench),quench_probe,ethyl benzoate,0.1,0.42,1.1,,CCOC(=O)c1ccccc1Br,CCC([Li])C,CCOC(=O)c1ccccc1[Li],CO,CCOC(=O)c1ccccc1,3.16,,78.0,
Nagaki et al. 2008 - Aryllithium compounds bearing alkoxycarbonyl groups - generation and reactions using a microflow system,62.0,halogen-metal exchange,tetrahydrofuran,microtube reactor R1,10.1002/anie.200803205,2008.0,tR1,5.62341,,-60.0,,ethyl o-bromobenzoate,s-BuLi,ethyl o-(lithio)benzoate,ROH (alcohol quench),quench_probe,ethyl benzoate,0.1,0.42,1.1,,CCOC(=O)c1ccccc1Br,CCC([Li])C,CCOC(=O)c1ccccc1[Li],CO,CCOC(=O)c1ccccc1,31.6,,62.0,
Nagaki et al. 2008 - Aryllithium compounds bearing alkoxycarbonyl groups - generation and reactions using a microflow system,33.0,halogen-metal exchange,tetrahydrofuran,microtube reactor R1,10.1002/anie.200803205,2008.0,tR1,0.01334,,-78.0,,ethyl o-bromobenzoate,s-BuLi,ethyl o-(lithio)benzoate,ROH (alcohol quench),quench_probe,ethyl benzoate,0.1,0.42,1.1,,CCOC(=O)c1ccccc1Br,CCC([Li])C,CCOC(=O)c1ccccc1[Li],CO,CCOC(=O)c1ccccc1,0.0316,,33.0,
Nagaki et al. 2008 - Aryllithium compounds bearing alkoxycarbonyl groups - generation and reactions using a microflow system,43.0,halogen-metal exchange,tetrahydrofuran,microtube reactor R1,10.1002/anie.200803205,2008.0,tR1,0.05623,,-78.0,,ethyl o-bromobenzoate,s-BuLi,ethyl o-(lithio)benzoate,ROH (alcohol quench),quench_probe,ethyl benzoate,0.1,0.42,1.1,,CCOC(=O)c1ccccc1Br,CCC([Li])C,CCOC(=O)c1ccccc1[Li],CO,CCOC(=O)c1ccccc1,0.1,,43.0,
Nagaki et al. 2008 - Aryllithium compounds bearing alkoxycarbonyl groups - generation and reactions using a microflow system,52.0,halogen-metal exchange,tetrahydrofuran,microtube reactor R1,10.1002/anie.200803205,2008.0,tR1,0.19953,,-78.0,,ethyl o-bromobenzoate,s-BuLi,ethyl o-(lithio)benzoate,ROH (alcohol quench),quench_probe,ethyl benzoate,0.1,0.42,1.1,,CCOC(=O)c1ccccc1Br,CCC([Li])C,CCOC(=O)c1ccccc1[Li],CO,CCOC(=O)c1ccccc1,0.316,,52.0,
Nagaki et al. 2008 - Aryllithium compounds bearing alkoxycarbonyl groups - generation and reactions using a microflow system,56.0,halogen-metal exchange,tetrahydrofuran,microtube reactor R1,10.1002/anie.200803205,2008.0,tR1,0.38905,,-78.0,,ethyl o-bromobenzoate,s-BuLi,ethyl o-(lithio)benzoate,ROH (alcohol quench),quench_probe,ethyl benzoate,0.1,0.42,1.1,,CCOC(=O)c1ccccc1Br,CCC([Li])C,CCOC(=O)c1ccccc1[Li],CO,CCOC(=O)c1ccccc1,1.0,,56.0,
Nagaki et al. 2008 - Aryllithium compounds bearing alkoxycarbonyl groups - generation and reactions using a microflow system,64.0,halogen-metal exchange,tetrahydrofuran,microtube reactor R1,10.1002/anie.200803205,2008.0,tR1,0.79433,,-78.0,,ethyl o-bromobenzoate,s-BuLi,ethyl o-(lithio)benzoate,ROH (alcohol quench),quench_probe,ethyl benzoate,0.1,0.42,1.1,,CCOC(=O)c1ccccc1Br,CCC([Li])C,CCOC(=O)c1ccccc1[Li],CO,CCOC(=O)c1ccccc1,3.16,,64.0,
Nagaki et al. 2008 - Aryllithium compounds bearing alkoxycarbonyl groups - generation and reactions using a microflow system,58.0,halogen-metal exchange,tetrahydrofuran,microtube reactor R1,10.1002/anie.200803205,2008.0,tR1,5.62341,,-78.0,,ethyl o-bromobenzoate,s-BuLi,ethyl o-(lithio)benzoate,ROH (alcohol quench),quench_probe,ethyl benzoate,0.1,0.42,1.1,,CCOC(=O)c1ccccc1Br,CCC([Li])C,CCOC(=O)c1ccccc1[Li],CO,CCOC(=O)c1ccccc1,31.6,,58.0,
Nagaki et al. 2008 - Aryllithium compounds bearing alkoxycarbonyl groups - generation and reactions using a microflow system,83.0,halogen-metal exchange,tetrahydrofuran,microtube reactor R1,10.1002/anie.200803205,2008.0,tR1,0.01334,,20.0,,tert-butyl o-bromobenzoate,s-BuLi,tert-butyl o-(lithio)benzoate (aryllithium),ROH (alcohol quench),quench_probe,tert-butyl benzoate,0.1,0.42,1.1,,CC(C)(C)OC(=O)c1ccccc1Br,CCC([Li])C,CC(C)(C)OC(=O)c1ccccc1[Li],CO,CC(C)(C)OC(=O)c1ccccc1,0.0316,,,
Nagaki et al. 2008 - Aryllithium compounds bearing alkoxycarbonyl groups - generation and reactions using a microflow system,81.0,halogen-metal exchange,tetrahydrofuran,microtube reactor R1,10.1002/anie.200803205,2008.0,tR1,0.05623,,20.0,,tert-butyl o-bromobenzoate,s-BuLi,tert-butyl o-(lithio)benzoate (aryllithium),ROH (alcohol quench),quench_probe,tert-butyl benzoate,0.1,0.42,1.1,,CC(C)(C)OC(=O)c1ccccc1Br,CCC([Li])C,CC(C)(C)OC(=O)c1ccccc1[Li],CO,CC(C)(C)OC(=O)c1ccccc1,0.1,,,
Nagaki et al. 2008 - Aryllithium compounds bearing alkoxycarbonyl groups - generation and reactions using a microflow system,74.0,halogen-metal exchange,tetrahydrofuran,microtube reactor R1,10.1002/anie.200803205,2008.0,tR1,0.19953,,20.0,,tert-butyl o-bromobenzoate,s-BuLi,tert-butyl o-(lithio)benzoate (aryllithium),ROH (alcohol quench),quench_probe,tert-butyl benzoate,0.1,0.42,1.1,,CC(C)(C)OC(=O)c1ccccc1Br,CCC([Li])C,CC(C)(C)OC(=O)c1ccccc1[Li],CO,CC(C)(C)OC(=O)c1ccccc1,0.316,,,
Nagaki et al. 2008 - Aryllithium compounds bearing alkoxycarbonyl groups - generation and reactions using a microflow system,71.0,halogen-metal exchange,tetrahydrofuran,microtube reactor R1,10.1002/anie.200803205,2008.0,tR1,0.38905,,20.0,,tert-butyl o-bromobenzoate,s-BuLi,tert-butyl o-(lithio)benzoate (aryllithium),ROH (alcohol quench),quench_probe,tert-butyl benzoate,0.1,0.42,1.1,,CC(C)(C)OC(=O)c1ccccc1Br,CCC([Li])C,CC(C)(C)OC(=O)c1ccccc1[Li],CO,CC(C)(C)OC(=O)c1ccccc1,1.0,,,
Nagaki et al. 2008 - Aryllithium compounds bearing alkoxycarbonyl groups - generation and reactions using a microflow system,61.0,halogen-metal exchange,tetrahydrofuran,microtube reactor R1,10.1002/anie.200803205,2008.0,tR1,0.79433,,20.0,,tert-butyl o-bromobenzoate,s-BuLi,tert-butyl o-(lithio)benzoate (aryllithium),ROH (alcohol quench),quench_probe,tert-butyl benzoate,0.1,0.42,1.1,,CC(C)(C)OC(=O)c1ccccc1Br,CCC([Li])C,CC(C)(C)OC(=O)c1ccccc1[Li],CO,CC(C)(C)OC(=O)c1ccccc1,3.16,,,
Nagaki et al. 2008 - Aryllithium compounds bearing alkoxycarbonyl groups - generation and reactions using a microflow system,30.0,halogen-metal exchange,tetrahydrofuran,microtube reactor R1,10.1002/anie.200803205,2008.0,tR1,5.62341,,20.0,,tert-butyl o-bromobenzoate,s-BuLi,tert-butyl o-(lithio)benzoate (aryllithium),ROH (alcohol quench),quench_probe,tert-butyl benzoate,0.1,0.42,1.1,,CC(C)(C)OC(=O)c1ccccc1Br,CCC([Li])C,CC(C)(C)OC(=O)c1ccccc1[Li],CO,CC(C)(C)OC(=O)c1ccccc1,31.6,,,
Nagaki et al. 2008 - Aryllithium compounds bearing alkoxycarbonyl groups - generation and reactions using a microflow system,93.0,halogen-metal exchange,tetrahydrofuran,microtube reactor R1,10.1002/anie.200803205,2008.0,tR1,0.01334,,0.0,,tert-butyl o-bromobenzoate,s-BuLi,tert-butyl o-(lithio)benzoate (aryllithium),ROH (alcohol quench),quench_probe,tert-butyl benzoate,0.1,0.42,1.1,,CC(C)(C)OC(=O)c1ccccc1Br,CCC([Li])C,CC(C)(C)OC(=O)c1ccccc1[Li],CO,CC(C)(C)OC(=O)c1ccccc1,0.0316,,,
Nagaki et al. 2008 - Aryllithium compounds bearing alkoxycarbonyl groups - generation and reactions using a microflow system,93.0,halogen-metal exchange,tetrahydrofuran,microtube reactor R1,10.1002/anie.200803205,2008.0,tR1,0.05623,,0.0,,tert-butyl o-bromobenzoate,s-BuLi,tert-butyl o-(lithio)benzoate (aryllithium),ROH (alcohol quench),quench_probe,tert-butyl benzoate,0.1,0.42,1.1,,CC(C)(C)OC(=O)c1ccccc1Br,CCC([Li])C,CC(C)(C)OC(=O)c1ccccc1[Li],CO,CC(C)(C)OC(=O)c1ccccc1,0.1,,,
Nagaki et al. 2008 - Aryllithium compounds bearing alkoxycarbonyl groups - generation and reactions using a microflow system,90.0,halogen-metal exchange,tetrahydrofuran,microtube reactor R1,10.1002/anie.200803205,2008.0,tR1,0.19953,,0.0,,tert-butyl o-bromobenzoate,s-BuLi,tert-butyl o-(lithio)benzoate (aryllithium),ROH (alcohol quench),quench_probe,tert-butyl benzoate,0.1,0.42,1.1,,CC(C)(C)OC(=O)c1ccccc1Br,CCC([Li])C,CC(C)(C)OC(=O)c1ccccc1[Li],CO,CC(C)(C)OC(=O)c1ccccc1,0.316,,,
Nagaki et al. 2008 - Aryllithium compounds bearing alkoxycarbonyl groups - generation and reactions using a microflow system,89.0,halogen-metal exchange,tetrahydrofuran,microtube reactor R1,10.1002/anie.200803205,2008.0,tR1,0.38905,,0.0,,tert-butyl o-bromobenzoate,s-BuLi,tert-butyl o-(lithio)benzoate (aryllithium),ROH (alcohol quench),quench_probe,tert-butyl benzoate,0.1,0.42,1.1,,CC(C)(C)OC(=O)c1ccccc1Br,CCC([Li])C,CC(C)(C)OC(=O)c1ccccc1[Li],CO,CC(C)(C)OC(=O)c1ccccc1,1.0,,,
Nagaki et al. 2008 - Aryllithium compounds bearing alkoxycarbonyl groups - generation and reactions using a microflow system,84.0,halogen-metal exchange,tetrahydrofuran,microtube reactor R1,10.1002/anie.200803205,2008.0,tR1,0.79433,,0.0,,tert-butyl o-bromobenzoate,s-BuLi,tert-butyl o-(lithio)benzoate (aryllithium),ROH (alcohol quench),quench_probe,tert-butyl benzoate,0.1,0.42,1.1,,CC(C)(C)OC(=O)c1ccccc1Br,CCC([Li])C,CC(C)(C)OC(=O)c1ccccc1[Li],CO,CC(C)(C)OC(=O)c1ccccc1,3.16,,,
Nagaki et al. 2008 - Aryllithium compounds bearing alkoxycarbonyl groups - generation and reactions using a microflow system,43.0,halogen-metal exchange,tetrahydrofuran,microtube reactor R1,10.1002/anie.200803205,2008.0,tR1,5.62341,,0.0,,tert-butyl o-bromobenzoate,s-BuLi,tert-butyl o-(lithio)benzoate (aryllithium),ROH (alcohol quench),quench_probe,tert-butyl benzoate,0.1,0.42,1.1,,CC(C)(C)OC(=O)c1ccccc1Br,CCC([Li])C,CC(C)(C)OC(=O)c1ccccc1[Li],CO,CC(C)(C)OC(=O)c1ccccc1,31.6,,,
Nagaki et al. 2008 - Aryllithium compounds bearing alkoxycarbonyl groups - generation and reactions using a microflow system,75.0,halogen-metal exchange,tetrahydrofuran,microtube reactor R1,10.1002/anie.200803205,2008.0,tR1,0.01334,,-30.0,,tert-butyl o-bromobenzoate,s-BuLi,tert-butyl o-(lithio)benzoate (aryllithium),ROH (alcohol quench),quench_probe,tert-butyl benzoate,0.1,0.42,1.1,,CC(C)(C)OC(=O)c1ccccc1Br,CCC([Li])C,CC(C)(C)OC(=O)c1ccccc1[Li],CO,CC(C)(C)OC(=O)c1ccccc1,0.0316,,,
Nagaki et al. 2008 - Aryllithium compounds bearing alkoxycarbonyl groups - generation and reactions using a microflow system,99.0,halogen-metal exchange,tetrahydrofuran,microtube reactor R1,10.1002/anie.200803205,2008.0,tR1,0.05623,,-30.0,,tert-butyl o-bromobenzoate,s-BuLi,tert-butyl o-(lithio)benzoate (aryllithium),ROH (alcohol quench),quench_probe,tert-butyl benzoate,0.1,0.42,1.1,,CC(C)(C)OC(=O)c1ccccc1Br,CCC([Li])C,CC(C)(C)OC(=O)c1ccccc1[Li],CO,CC(C)(C)OC(=O)c1ccccc1,0.1,,,
Nagaki et al. 2008 - Aryllithium compounds bearing alkoxycarbonyl groups - generation and reactions using a microflow system,98.0,halogen-metal exchange,tetrahydrofuran,microtube reactor R1,10.1002/anie.200803205,2008.0,tR1,0.19953,,-30.0,,tert-butyl o-bromobenzoate,s-BuLi,tert-butyl o-(lithio)benzoate (aryllithium),ROH (alcohol quench),quench_probe,tert-butyl benzoate,0.1,0.42,1.1,,CC(C)(C)OC(=O)c1ccccc1Br,CCC([Li])C,CC(C)(C)OC(=O)c1ccccc1[Li],CO,CC(C)(C)OC(=O)c1ccccc1,0.316,,,
Nagaki et al. 2008 - Aryllithium compounds bearing alkoxycarbonyl groups - generation and reactions using a microflow system,99.0,halogen-metal exchange,tetrahydrofuran,microtube reactor R1,10.1002/anie.200803205,2008.0,tR1,0.38905,,-30.0,,tert-butyl o-bromobenzoate,s-BuLi,tert-butyl o-(lithio)benzoate (aryllithium),ROH (alcohol quench),quench_probe,tert-butyl benzoate,0.1,0.42,1.1,,CC(C)(C)OC(=O)c1ccccc1Br,CCC([Li])C,CC(C)(C)OC(=O)c1ccccc1[Li],CO,CC(C)(C)OC(=O)c1ccccc1,1.0,,,
Nagaki et al. 2008 - Aryllithium compounds bearing alkoxycarbonyl groups - generation and reactions using a microflow system,97.0,halogen-metal exchange,tetrahydrofuran,microtube reactor R1,10.1002/anie.200803205,2008.0,tR1,0.79433,,-30.0,,tert-butyl o-bromobenzoate,s-BuLi,tert-butyl o-(lithio)benzoate (aryllithium),ROH (alcohol quench),quench_probe,tert-butyl benzoate,0.1,0.42,1.1,,CC(C)(C)OC(=O)c1ccccc1Br,CCC([Li])C,CC(C)(C)OC(=O)c1ccccc1[Li],CO,CC(C)(C)OC(=O)c1ccccc1,3.16,,,
Nagaki et al. 2008 - Aryllithium compounds bearing alkoxycarbonyl groups - generation and reactions using a microflow system,88.0,halogen-metal exchange,tetrahydrofuran,microtube reactor R1,10.1002/anie.200803205,2008.0,tR1,5.62341,,-30.0,,tert-butyl o-bromobenzoate,s-BuLi,tert-butyl o-(lithio)benzoate (aryllithium),ROH (alcohol quench),quench_probe,tert-butyl benzoate,0.1,0.42,1.1,,CC(C)(C)OC(=O)c1ccccc1Br,CCC([Li])C,CC(C)(C)OC(=O)c1ccccc1[Li],CO,CC(C)(C)OC(=O)c1ccccc1,31.6,,,
Nagaki et al. 2008 - Aryllithium compounds bearing alkoxycarbonyl groups - generation and reactions using a microflow system,65.0,halogen-metal exchange,tetrahydrofuran,microtube reactor R1,10.1002/anie.200803205,2008.0,tR1,0.01334,,-50.0,,tert-butyl o-bromobenzoate,s-BuLi,tert-butyl o-(lithio)benzoate (aryllithium),ROH (alcohol quench),quench_probe,tert-butyl benzoate,0.1,0.42,1.1,,CC(C)(C)OC(=O)c1ccccc1Br,CCC([Li])C,CC(C)(C)OC(=O)c1ccccc1[Li],CO,CC(C)(C)OC(=O)c1ccccc1,0.0316,,,
Nagaki et al. 2008 - Aryllithium compounds bearing alkoxycarbonyl groups - generation and reactions using a microflow system,94.0,halogen-metal exchange,tetrahydrofuran,microtube reactor R1,10.1002/anie.200803205,2008.0,tR1,0.05623,,-50.0,,tert-butyl o-bromobenzoate,s-BuLi,tert-butyl o-(lithio)benzoate (aryllithium),ROH (alcohol quench),quench_probe,tert-butyl benzoate,0.1,0.42,1.1,,CC(C)(C)OC(=O)c1ccccc1Br,CCC([Li])C,CC(C)(C)OC(=O)c1ccccc1[Li],CO,CC(C)(C)OC(=O)c1ccccc1,0.1,,,
Nagaki et al. 2008 - Aryllithium compounds bearing alkoxycarbonyl groups - generation and reactions using a microflow system,98.0,halogen-metal exchange,tetrahydrofuran,microtube reactor R1,10.1002/anie.200803205,2008.0,tR1,0.19953,,-50.0,,tert-butyl o-bromobenzoate,s-BuLi,tert-butyl o-(lithio)benzoate (aryllithium),ROH (alcohol quench),quench_probe,tert-butyl benzoate,0.1,0.42,1.1,,CC(C)(C)OC(=O)c1ccccc1Br,CCC([Li])C,CC(C)(C)OC(=O)c1ccccc1[Li],CO,CC(C)(C)OC(=O)c1ccccc1,0.316,,,
Nagaki et al. 2008 - Aryllithium compounds bearing alkoxycarbonyl groups - generation and reactions using a microflow system,99.0,halogen-metal exchange,tetrahydrofuran,microtube reactor R1,10.1002/anie.200803205,2008.0,tR1,0.38905,,-50.0,,tert-butyl o-bromobenzoate,s-BuLi,tert-butyl o-(lithio)benzoate (aryllithium),ROH (alcohol quench),quench_probe,tert-butyl benzoate,0.1,0.42,1.1,,CC(C)(C)OC(=O)c1ccccc1Br,CCC([Li])C,CC(C)(C)OC(=O)c1ccccc1[Li],CO,CC(C)(C)OC(=O)c1ccccc1,1.0,,,
Nagaki et al. 2008 - Aryllithium compounds bearing alkoxycarbonyl groups - generation and reactions using a microflow system,96.0,halogen-metal exchange,tetrahydrofuran,microtube reactor R1,10.1002/anie.200803205,2008.0,tR1,0.79433,,-50.0,,tert-butyl o-bromobenzoate,s-BuLi,tert-butyl o-(lithio)benzoate (aryllithium),ROH (alcohol quench),quench_probe,tert-butyl benzoate,0.1,0.42,1.1,,CC(C)(C)OC(=O)c1ccccc1Br,CCC([Li])C,CC(C)(C)OC(=O)c1ccccc1[Li],CO,CC(C)(C)OC(=O)c1ccccc1,3.16,,,
Nagaki et al. 2008 - Aryllithium compounds bearing alkoxycarbonyl groups - generation and reactions using a microflow system,92.0,halogen-metal exchange,tetrahydrofuran,microtube reactor R1,10.1002/anie.200803205,2008.0,tR1,5.62341,,-50.0,,tert-butyl o-bromobenzoate,s-BuLi,tert-butyl o-(lithio)benzoate (aryllithium),ROH (alcohol quench),quench_probe,tert-butyl benzoate,0.1,0.42,1.1,,CC(C)(C)OC(=O)c1ccccc1Br,CCC([Li])C,CC(C)(C)OC(=O)c1ccccc1[Li],CO,CC(C)(C)OC(=O)c1ccccc1,31.6,,,
Nagaki et al. 2008 - Aryllithium compounds bearing alkoxycarbonyl groups - generation and reactions using a microflow system,54.0,halogen-metal exchange,tetrahydrofuran,microtube reactor R1,10.1002/anie.200803205,2008.0,tR1,0.01334,,-60.0,,tert-butyl o-bromobenzoate,s-BuLi,tert-butyl o-(lithio)benzoate (aryllithium),ROH (alcohol quench),quench_probe,tert-butyl benzoate,0.1,0.42,1.1,,CC(C)(C)OC(=O)c1ccccc1Br,CCC([Li])C,CC(C)(C)OC(=O)c1ccccc1[Li],CO,CC(C)(C)OC(=O)c1ccccc1,0.0316,,,
Nagaki et al. 2008 - Aryllithium compounds bearing alkoxycarbonyl groups - generation and reactions using a microflow system,77.0,halogen-metal exchange,tetrahydrofuran,microtube reactor R1,10.1002/anie.200803205,2008.0,tR1,0.05623,,-60.0,,tert-butyl o-bromobenzoate,s-BuLi,tert-butyl o-(lithio)benzoate (aryllithium),ROH (alcohol quench),quench_probe,tert-butyl benzoate,0.1,0.42,1.1,,CC(C)(C)OC(=O)c1ccccc1Br,CCC([Li])C,CC(C)(C)OC(=O)c1ccccc1[Li],CO,CC(C)(C)OC(=O)c1ccccc1,0.1,,77.0,
Nagaki et al. 2008 - Aryllithium compounds bearing alkoxycarbonyl groups - generation and reactions using a microflow system,92.0,halogen-metal exchange,tetrahydrofuran,microtube reactor R1,10.1002/anie.200803205,2008.0,tR1,0.19953,,-60.0,,tert-butyl o-bromobenzoate,s-BuLi,tert-butyl o-(lithio)benzoate (aryllithium),ROH (alcohol quench),quench_probe,tert-butyl benzoate,0.1,0.42,1.1,,CC(C)(C)OC(=O)c1ccccc1Br,CCC([Li])C,CC(C)(C)OC(=O)c1ccccc1[Li],CO,CC(C)(C)OC(=O)c1ccccc1,0.316,,,
