paper,paper_doi,source,entry_number,reactant1_name,reactant1_smiles,reactant2_name,reactant2_smiles,product_name,product_smiles,product_label,yield_pct,yield_type,conversion_pct,selectivity_pct,ee_pct,stoichiometry,reaction_class,temperature_C,residence_time_s,solvent,reactor_type,catalyst,notes
Nagaki et al. 2012 - Cross-coupling of aryllithiums with aryl and vinyl halides in flow microreactors,10.1002/asia.201101019,page_4_table_1_extracted.csv,10,,Brc1ccccc1,bromobenzene,,,Cc1cccc(c2ccccc2)c1,,,,,,,,C-C coupling,50.0,94.0,tetrahydrofuran,flow microreactor system,Pd,m-Bromotoluene + bromobenzene coupling; product is m-tolylbenzene; yield not numerically reported
Nagaki et al. 2012 - Cross-coupling of aryllithiums with aryl and vinyl halides in flow microreactors,10.1002/asia.201101019,page_6_table_0_extracted.csv,1,,c1ccccc1Br,,Br/C=C/c1ccccc1,,COc1cccc(/C=C/c2ccccc2)c1,,,,,,,,C-C coupling,50.0,19.0,tetrahydrofuran,integrated flow microreactor system,Pd(OAc)2,Vinyl bromide coupling with p-bromoanisole; product is styrene derivative; yield not numerically reported
Nagaki et al. 2012 - Cross-coupling of aryllithiums with aryl and vinyl halides in flow microreactors,10.1002/asia.201101019,page_6_table_0_extracted.csv,4,p-bromoanisole,,,COc1ccc(/C=C/Br)cc1,,COc1ccc(/C=C/c2ccccc2)cc1,,,,,,,,C-C coupling,50.0,19.0,tetrahydrofuran,integrated flow microreactor system,Pd(OAc)2,"Blank Ar-Br suggests alternative ArLi generation (e.g., H/Li exchange); vinyl bromide is p-methoxystyrene bromide; product is p-methoxy-p-styrylbenzene"
Nagaki et al. 2012 - Cross-coupling of aryllithiums with aryl and vinyl halides in flow microreactors,10.1002/asia.201101019,page_6_table_0_extracted.csv,6,chlorobenzene,,,Clc1ccc(/C=C/Br)cc1,,Clc1ccc(/C=C/c2ccccc2)cc1.[CH2-].[I-],,,,,,,,C-C coupling,50.0,19.0,tetrahydrofuran,integrated flow microreactor system,Pd(OAc)2,Chlorobenzene-derived ArLi coupled with chlorostyrene bromide; product contains CH2- and I- impurities; yield not numerically reported
Nagaki et al. 2012 - Cross-coupling of aryllithiums with aryl and vinyl halides in flow microreactors,10.1002/asia.201101019,page_6_table_0_extracted.csv,8,bromobenzene,,,BrC=C,,C/C=C/c1ccccc1,,,,,,,,C-C coupling,50.0,19.0,tetrahydrofuran,integrated flow microreactor system,Pd(OAc)2,Styrene bromide analog; product is stilbene derivative; yield not numerically reported
Nagaki et al. 2012 - Cross-coupling of aryllithiums with aryl and vinyl halides in flow microreactors,10.1002/asia.201101019,page_3_table_2_extracted.csv,1,p-bromoanisole,,bromobenzene,,,COc1ccc(c2ccccc2)cc1,3,,GC,,,,,C-C coupling,-78.0,,tetrahydrofuran,batch macroreactor (25 mL round-bottomed flask),Pd(PPh3)4,"Batch macroreactor control experiment; p-methoxyphenyllithium + bromobenzene → p-methoxybiphenyl; yield 8% (based on p-bromoanisole), batch yield reported in Scheme 3 text"
Nagaki et al. 2013 - Synthesis of functionalized aryl fluorides using organolithium reagents in flow microreactors,10.1002/asia.201201191,Table 1,,4-methoxyphenyl bromide,,n-butyllithium,,4-methoxyfluorobenzene,,,,GC,,,,,halogen-metal exchange,,,tetrahydrofuran,flow microreactor,,"Reaction involves bromine-lithium exchange of 4-methoxyphenyl bromide with n-butyllithium to form 4-methoxyphenyllithium, followed by fluorination with NFSI or N-fluorosultam."
Nagaki et al. 2013 - Synthesis of functionalized aryl fluorides using organolithium reagents in flow microreactors,10.1002/asia.201201191,Table 1,,4-nitrophenyl iodide,,phenyllithium,,4-nitrofluorobenzene,,,,GC,,,,,halogen-metal exchange,,,tetrahydrofuran,flow microreactor,,"Reaction involves iodine-lithium exchange of 4-nitrophenyl iodide with phenyllithium to form 4-nitrophenyllithium, followed by fluorination with NFSI or N-fluorosultam."
Nagaki et al. 2013 - Synthesis of functionalized aryl fluorides using organolithium reagents in flow microreactors,10.1002/asia.201201191,Table 2,,,O=[N+]([O-])c1ccccc1I,n-butyllithium,,,,,,,,,,,halogen-metal exchange,-28.0,2.3,tetrahydrofuran,"flow microreactor with micromixer (M2, 500 µm ID) and capillary reactor",,Substrate is 1-iodo-4-nitrobenzene; lithiating agent is n-butyllithium (implied from context and 'CC' shorthand).
Nagaki et al. 2013 - Synthesis of functionalized aryl fluorides using organolithium reagents in flow microreactors,10.1002/asia.201201191,Table 2,,,CC.O=[N+]([O-])c1ccc(I)cc1,,,,,,,,,,,,halogen-metal exchange,-28.0,2.3,tetrahydrofuran,"flow microreactor with micromixer (M2, 500 µm ID) and capillary reactor",,Substrate is 1-iodo-4-nitrobenzene with ethyl lithium as lithiating agent (from 'CC' notation).
Nagaki et al. 2013 - Synthesis of functionalized aryl fluorides using organolithium reagents in flow microreactors,10.1002/asia.201201191,Table 2,,,N#Cc1ccccc1Br,ethyl lithium,,,N#Cc1ccccc1F,,,,,,,,halogen-metal exchange,-28.0,2.3,tetrahydrofuran,"flow microreactor with micromixer (M2, 500 µm ID) and capillary reactor",,Substrate is bromobenzonitrile; lithiating agent is ethyl lithium (from 'CC' notation); product is fluorobenzonitrile.
Nagaki et al. 2010 - Generation and reactions of oxiranyllithiums by use of a flow microreactor system,10.1002/chem.201000815,page_3_table_1_extracted.csv,,styrene oxide,,sBuLi,,,CC1(c2ccccc2)CO1,,,,,,,,directed metalation,-78.0,,tetrahydrofuran,flow microreactor with T-shaped micromixers and microtube reactors,,First row of Table 1: product from trapping with MeI under condition A or B; SMILES corresponds to methylated styrene oxide derivative.
Nagaki et al. 2010 - Generation and reactions of oxiranyllithiums by use of a flow microreactor system,10.1002/chem.201000815,page_5_table_0_extracted.csv,,4-chlorostyrene oxide,,sBuLi,,,C[Si](C)(C)C1(c2ccc(Cl)cc2)CO1,,,,,,,,directed metalation,-78.0,,tetrahydrofuran,flow microreactor system (micromixers and microtubes),,First product structure in page_5_table_0: trapping of oxiranyllithium derived from 4-chlorostyrene oxide with Me3SiCl.
Nagaki et al. 2010 - Generation and reactions of oxiranyllithiums by use of a flow microreactor system,10.1002/chem.201000815,page_5_table_0_extracted.csv,,4-methylstyrene oxide,,sBuLi,,,Cc1ccc(C2(C)CO2)cc1,,,,,,,,directed metalation,-78.0,,tetrahydrofuran,flow microreactor system (micromixers and microtubes),,Third product structure in page_5_table_0: trapping of oxiranyllithium derived from 4-methylstyrene oxide with MeI.
Nagaki et al. 2010 - Generation and reactions of oxiranyllithiums by use of a flow microreactor system,10.1002/chem.201000815,page_5_table_0_extracted.csv,,2-(naphthyl)ethylene oxide,,sBuLi,,,c1ccc2cc(C3CO3)ccc2c1,,,,,,,,directed metalation,-78.0,,tetrahydrofuran,flow microreactor system (micromixers and microtubes),,Sixth product structure in page_5_table_0: trapping of oxiranyllithium derived from 2-(naphthyl)ethylene oxide with MeI.
Nagaki et al. 2010 - Generation and reactions of oxiranyllithiums by use of a flow microreactor system,10.1002/chem.201000815,page_5_table_0_extracted.csv,,2-(biphenyl-4-yl)ethylene oxide,,sBuLi,,,CC1(c2ccc(-c3ccccc3)cc2)CO1,,,,,,,,directed metalation,-78.0,,tetrahydrofuran,flow microreactor system (micromixers and microtubes),,Ninth product structure in page_5_table_0: trapping of oxiranyllithium derived from 2-(biphenyl-4-yl)ethylene oxide with MeI.
Nagaki et al. 2010 - Generation and reactions of oxiranyllithiums by use of a flow microreactor system,10.1002/chem.201000815,page_7_table_0_extracted.csv,,"(2S*,3R*)-2-methyl-3-phenyloxirane",,sBuLi,,,CC1OC1c1ccccc1,,,,,,,,directed metalation,-78.0,,tetrahydrofuran,flow microreactor system (micromixer + microtube),,"First row of page_7_table_0: product from trapping of b-substituted oxiranyllithium derived from (2S*,3R*)-2-methyl-3-phenyloxirane with MeI."
Nagaki et al. 2010 - Generation and reactions of oxiranyllithiums by use of a flow microreactor system,10.1002/chem.201000815,page_7_table_0_extracted.csv,,"(2R*,3S*)-2,3-diphenyloxirane",,sBuLi,,,c1ccc(C2OC2c2ccccc2)cc1,,,,,,,,directed metalation,-78.0,,tetrahydrofuran,flow microreactor system (micromixer + microtube),,"Sixth row of page_7_table_0: product from trapping of b-substituted oxiranyllithium derived from (2R*,3S*)-2,3-diphenyloxirane with MeI."
Nagaki et al. 2010 - Generation and reactions of oxiranyllithiums by use of a flow microreactor system,10.1002/chem.201000815,page_9_table_0_extracted.csv,,"(2S*,3S*)-2,3-diphenyloxirane",,sBuLi,,,c1ccc(C2OC2c2ccccc2)cc1,,,,,,,,directed metalation,-78.0,,tetrahydrofuran,flow microreactor system (micromixer + microtube),,"First row of page_9_table_0: substrate (2S*,3S*)-2,3-diphenyloxirane used for deprotonation with sBuLi followed by methylation with iodomethane in macrobatch reactor."
Nagaki et al. 2010 - Generation and reactions of oxiranyllithiums by use of a flow microreactor system,10.1002/chem.201000815,page_9_table_1_extracted.csv,,"(2S*,3S*)-2-methyl-2,3-diphenyloxirane",,sBuLi,,,CC1(c2ccccc2)OC1(c1ccccc1)[Si](C)(C)C,,,,,,,,directed metalation,-78.0,23.8,tetrahydrofuran,"flow microreactor with two T-shaped micromixers (M1, M2) and two microtube reactors (R1, R2)",,"Fourth row of page_9_table_1: product from trapping of b,b-disubstituted oxiranyllithium derived from (2S*,3S*)-2-methyl-2,3-diphenyloxirane with Me3SiCl."
Nagaki et al. 2010 - Generation and reactions of oxiranyllithiums by use of a flow microreactor system,10.1002/chem.201000815,page_9_table_2_extracted.csv,,styrene oxide,,sBuLi,,,c1ccc(C2OC2c2ccccc2)cc1,,,,,,,,directed metalation,-28.0,,tetrahydrofuran,flow microreactor,sec-butyllithium,First row of page_9_table_2: substrate styrene oxide used for sequential electrophile addition to generate tetrasubstituted epoxides in flow microreactor at -28°C.
Nagaki et al. 2010 - A flow microreactor system enables organolithium reactions without protecting alkoxycarbonyl groups,10.1002/chem.201000876,Table 1,1a,tert-butyl p-bromobenzoate,,sBuLi,,tert-butyl benzoate,,3a,35.0,GC,49.0,,,3.0 equiv ROH,halogen-metal exchange,-78.0,600.0,tetrahydrofuran,,,Batch reaction; conversion and yield in parentheses correspond to 1.0 min reaction time before electrophile addition.
Nagaki et al. 2010 - A flow microreactor system enables organolithium reactions without protecting alkoxycarbonyl groups,10.1002/chem.201000876,Table 1,1b,isopropyl p-bromobenzoate,,sBuLi,,isopropyl benzoate,,3b,7.0,GC,,,,3.0 equiv ROH,halogen-metal exchange,-78.0,600.0,tetrahydrofuran,,,"Batch reaction; only trace conversion observed, yield in parentheses corresponds to 1.0 min reaction time before electrophile addition."
Nagaki et al. 2010 - A flow microreactor system enables organolithium reactions without protecting alkoxycarbonyl groups,10.1002/chem.201000876,Table 1,1c,ethyl p-bromobenzoate,,sBuLi,,ethyl benzoate,,3c,,,,,,3.0 equiv ROH,halogen-metal exchange,-78.0,600.0,tetrahydrofuran,,,Batch reaction; desired product not obtained.
Nagaki et al. 2010 - A flow microreactor system enables organolithium reactions without protecting alkoxycarbonyl groups,10.1002/chem.201000876,Table 1,1d,methyl p-bromobenzoate,,sBuLi,,methyl benzoate,,3d,,,,,,3.0 equiv ROH,halogen-metal exchange,-78.0,600.0,tetrahydrofuran,,,Batch reaction; desired product not obtained.
Nagaki et al. 2010 - A flow microreactor system enables organolithium reactions without protecting alkoxycarbonyl groups,10.1002/chem.201000876,Table 2,4a,tert-butyl p-iodobenzoate,,PhLi,,tert-butyl benzoate,,3a,81.0,GC,99.0,,,3.0 equiv ROH,halogen-metal exchange,-78.0,600.0,tetrahydrofuran,,,Batch reaction; conversion and yield in parentheses correspond to 1.0 min reaction time before electrophile addition.
Nagaki et al. 2010 - A flow microreactor system enables organolithium reactions without protecting alkoxycarbonyl groups,10.1002/chem.201000876,Table 2,4b,isopropyl p-iodobenzoate,,PhLi,,isopropyl benzoate,,3b,24.0,GC,7.0,,,3.0 equiv ROH,halogen-metal exchange,-78.0,600.0,tetrahydrofuran,,,Batch reaction; yield in parentheses corresponds to 1.0 min reaction time before electrophile addition.
Nagaki et al. 2010 - A flow microreactor system enables organolithium reactions without protecting alkoxycarbonyl groups,10.1002/chem.201000876,Table 2,4c,ethyl p-iodobenzoate,,PhLi,,ethyl benzoate,,3c,,,,,,3.0 equiv ROH,halogen-metal exchange,-78.0,600.0,tetrahydrofuran,,,Batch reaction; desired product obtained only in trace amounts.
Nagaki et al. 2010 - A flow microreactor system enables organolithium reactions without protecting alkoxycarbonyl groups,10.1002/chem.201000876,Table 2,4d,methyl p-iodobenzoate,,PhLi,,methyl benzoate,,3d,,,,,,3.0 equiv ROH,halogen-metal exchange,-78.0,600.0,tetrahydrofuran,,,Batch reaction; desired product obtained only in trace amounts.
Nagaki et al. 2010 - A flow microreactor system enables organolithium reactions without protecting alkoxycarbonyl groups,10.1002/chem.201000876,Table 4,5a,tert-butyl m-bromobenzoate,,sBuLi,,tert-butyl benzoate,,3a,40.0,GC,,,,3.0 equiv ROH,halogen-metal exchange,-78.0,600.0,tetrahydrofuran,,,Batch reaction; partial decomposition of intermediate at -78°C.
Nagaki et al. 2010 - A flow microreactor system enables organolithium reactions without protecting alkoxycarbonyl groups,10.1002/chem.201000876,Table 4,5b,isopropyl m-bromobenzoate,,sBuLi,,isopropyl benzoate,,3b,,,,,,3.0 equiv ROH,halogen-metal exchange,-78.0,600.0,tetrahydrofuran,,,Batch reaction; significant decrease in yield compared to tert-butyl analog.
Nagaki et al. 2010 - A flow microreactor system enables organolithium reactions without protecting alkoxycarbonyl groups,10.1002/chem.201000876,Table 4,5c,ethyl m-bromobenzoate,,sBuLi,,ethyl benzoate,,3c,,,,,,3.0 equiv ROH,halogen-metal exchange,-78.0,600.0,tetrahydrofuran,,,Batch reaction; negligible yield.
Nagaki et al. 2010 - A flow microreactor system enables organolithium reactions without protecting alkoxycarbonyl groups,10.1002/chem.201000876,Table 4,5d,methyl m-bromobenzoate,,sBuLi,,methyl benzoate,,3d,,,,,,3.0 equiv ROH,halogen-metal exchange,-78.0,600.0,tetrahydrofuran,,,Batch reaction; negligible yield.
Nagaki et al. 2010 - A flow microreactor system enables organolithium reactions without protecting alkoxycarbonyl groups,10.1002/chem.201000876,Table 5,7a,tert-butyl m-iodobenzoate,,PhLi,,tert-butyl benzoate,,3a,78.0,GC,,,,3.0 equiv ROH,halogen-metal exchange,-78.0,600.0,tetrahydrofuran,,,Batch reaction.
Nagaki et al. 2010 - A flow microreactor system enables organolithium reactions without protecting alkoxycarbonyl groups,10.1002/chem.201000876,Table 5,7b,isopropyl m-iodobenzoate,,PhLi,,isopropyl benzoate,,3b,,,,,,3.0 equiv ROH,halogen-metal exchange,-78.0,600.0,tetrahydrofuran,,,Batch reaction; very low yield.
Nagaki et al. 2010 - A flow microreactor system enables organolithium reactions without protecting alkoxycarbonyl groups,10.1002/chem.201000876,Table 5,7c,ethyl m-iodobenzoate,,PhLi,,ethyl benzoate,,3c,,,,,,3.0 equiv ROH,halogen-metal exchange,-78.0,600.0,tetrahydrofuran,,,Batch reaction; trace amounts only.
Nagaki et al. 2010 - A flow microreactor system enables organolithium reactions without protecting alkoxycarbonyl groups,10.1002/chem.201000876,Table 5,7d,methyl m-iodobenzoate,,PhLi,,methyl benzoate,,3d,,,,,,3.0 equiv ROH,halogen-metal exchange,-78.0,600.0,tetrahydrofuran,,,Batch reaction; trace amounts only.
Nagaki et al. 2010 - A flow microreactor system enables organolithium reactions without protecting alkoxycarbonyl groups,10.1002/chem.201000876,Table 7,8a,tert-butyl o-bromobenzoate,,sBuLi,,tert-butyl benzoate,,3a,61.0,GC,,,,3.0 equiv ROH,halogen-metal exchange,-78.0,600.0,tetrahydrofuran,,,Batch reaction; moderate yield due to partial decomposition at -78°C.
Nagaki et al. 2010 - A flow microreactor system enables organolithium reactions without protecting alkoxycarbonyl groups,10.1002/chem.201000876,Table 7,8b,isopropyl o-bromobenzoate,,sBuLi,,isopropyl benzoate,,3b,12.0,GC,,,,3.0 equiv ROH,halogen-metal exchange,-78.0,600.0,tetrahydrofuran,,,Batch reaction; very low yield.
Nagaki et al. 2010 - A flow microreactor system enables organolithium reactions without protecting alkoxycarbonyl groups,10.1002/chem.201000876,Table 7,8c,ethyl o-bromobenzoate,,sBuLi,,ethyl benzoate,,3c,,,,,,3.0 equiv ROH,halogen-metal exchange,-78.0,600.0,tetrahydrofuran,,,Batch reaction; desired product not obtained.
Nagaki et al. 2010 - A flow microreactor system enables organolithium reactions without protecting alkoxycarbonyl groups,10.1002/chem.201000876,Table 7,8d,methyl o-bromobenzoate,,sBuLi,,methyl benzoate,,3d,,,,,,3.0 equiv ROH,halogen-metal exchange,-78.0,600.0,tetrahydrofuran,,,Batch reaction; desired product not obtained.
Nagaki et al. 2010 - A flow microreactor system enables organolithium reactions without protecting alkoxycarbonyl groups,10.1002/chem.201000876,page_2_table_0_extracted.csv,1b,isopropyl p-bromobenzoate,,sBuLi,,,*OC(=O)c1ccccc1,3b,0.0,GC,0.0,,,1.1 equiv,halogen-metal exchange,-78.0,600.0,tetrahydrofuran,conventional macrobatch reactor,,"sBuLi (0.42 M in hexane/cyclohexane) added to substrate in THF at -78°C; Br/Li exchange proceeded for 10 min at -78°C, then ROH (3.0 equiv) added and stirred 10 min more at -78°C"
Nagaki et al. 2010 - A flow microreactor system enables organolithium reactions without protecting alkoxycarbonyl groups,10.1002/chem.201000876,page_2_table_0_extracted.csv,1c,ethyl p-bromobenzoate,,sBuLi,,,*OC(=O)c1ccccc1,3c,0.0,GC,0.0,,,1.1 equiv,halogen-metal exchange,-78.0,600.0,tetrahydrofuran,conventional macrobatch reactor,,"sBuLi (0.42 M in hexane/cyclohexane) added to substrate in THF at -78°C; Br/Li exchange proceeded for 10 min at -78°C, then ROH (3.0 equiv) added and stirred 10 min more at -78°C"
Nagaki et al. 2010 - A flow microreactor system enables organolithium reactions without protecting alkoxycarbonyl groups,10.1002/chem.201000876,page_2_table_0_extracted.csv,1d,methyl p-bromobenzoate,,sBuLi,,,*OC(=O)c1ccccc1,3d,0.0,GC,0.0,,,1.1 equiv,halogen-metal exchange,-78.0,600.0,tetrahydrofuran,conventional macrobatch reactor,,"sBuLi (0.42 M in hexane/cyclohexane) added to substrate in THF at -78°C; Br/Li exchange proceeded for 10 min at -78°C, then ROH (3.0 equiv) added and stirred 10 min more at -78°C"
Nagaki et al. 2010 - A flow microreactor system enables organolithium reactions without protecting alkoxycarbonyl groups,10.1002/chem.201000876,page_4_table_0_extracted.csv,4b,isopropyl p-iodobenzoate,,PhLi,,,*OC(=O)c1ccccc1,3b,7.0,GC,7.0,,,1.1 equiv,halogen-metal exchange,-78.0,600.0,tetrahydrofuran,conventional macrobatch reactor,,PhLi (0.42 M in Et2O/cyclohexane) added dropwise; reaction stirred 10 min at -78°C before ROH addition; ROH added as electrophile and stirred 10 min more at -78°C
Nagaki et al. 2010 - A flow microreactor system enables organolithium reactions without protecting alkoxycarbonyl groups,10.1002/chem.201000876,page_4_table_0_extracted.csv,4c,ethyl p-iodobenzoate,,PhLi,,,*OC(=O)c1ccccc1,3c,0.0,GC,0.0,,,1.1 equiv,halogen-metal exchange,-78.0,600.0,tetrahydrofuran,conventional macrobatch reactor,,PhLi (0.42 M in Et2O/cyclohexane) added dropwise; reaction stirred 10 min at -78°C before ROH addition; ROH added as electrophile and stirred 10 min more at -78°C
Nagaki et al. 2010 - A flow microreactor system enables organolithium reactions without protecting alkoxycarbonyl groups,10.1002/chem.201000876,page_4_table_0_extracted.csv,4d,methyl p-iodobenzoate,,PhLi,,,*OC(=O)c1ccccc1,3d,0.0,GC,0.0,,,1.1 equiv,halogen-metal exchange,-78.0,600.0,tetrahydrofuran,conventional macrobatch reactor,,PhLi (0.42 M in Et2O/cyclohexane) added dropwise; reaction stirred 10 min at -78°C before ROH addition; ROH added as electrophile and stirred 10 min more at -78°C
Nagaki et al. 2010 - A flow microreactor system enables organolithium reactions without protecting alkoxycarbonyl groups,10.1002/chem.201000876,page_6_table_1_extracted.csv,5a,tert-butyl m-bromobenzoate,,sBuLi,,,*OC(=O)c1ccccc1,3a,40.0,GC,40.0,,,1.1 equiv,halogen-metal exchange,-78.0,1200.0,tetrahydrofuran,conventional macrobatch reactor,,"sBuLi (0.42 M in hexane/cyclohexane, 1.1 equiv) added dropwise; ROH added as electrophile (3.0 equiv); reaction stirred 10 min at -78°C after sBuLi addition and 10 min after ROH addition"
Nagaki et al. 2010 - A flow microreactor system enables organolithium reactions without protecting alkoxycarbonyl groups,10.1002/chem.201000876,page_6_table_1_extracted.csv,5b,isopropyl m-bromobenzoate,,sBuLi,,,*OC(=O)c1ccccc1,3b,0.0,GC,0.0,,,1.1 equiv,halogen-metal exchange,-78.0,1200.0,tetrahydrofuran,conventional macrobatch reactor,,"sBuLi (0.42 M in hexane/cyclohexane, 1.1 equiv) added dropwise; ROH added as electrophile (3.0 equiv); reaction stirred 10 min at -78°C after sBuLi addition and 10 min after ROH addition"
Nagaki et al. 2010 - A flow microreactor system enables organolithium reactions without protecting alkoxycarbonyl groups,10.1002/chem.201000876,page_6_table_1_extracted.csv,5c,ethyl m-bromobenzoate,,sBuLi,,,*OC(=O)c1ccccc1,3c,0.0,GC,0.0,,,1.1 equiv,halogen-metal exchange,-78.0,1200.0,tetrahydrofuran,conventional macrobatch reactor,,"sBuLi (0.42 M in hexane/cyclohexane, 1.1 equiv) added dropwise; ROH added as electrophile (3.0 equiv); reaction stirred 10 min at -78°C after sBuLi addition and 10 min after ROH addition"
Nagaki et al. 2010 - A flow microreactor system enables organolithium reactions without protecting alkoxycarbonyl groups,10.1002/chem.201000876,page_6_table_1_extracted.csv,5d,methyl m-bromobenzoate,,sBuLi,,,*OC(=O)c1ccccc1,3d,0.0,GC,0.0,,,1.1 equiv,halogen-metal exchange,-78.0,1200.0,tetrahydrofuran,conventional macrobatch reactor,,"sBuLi (0.42 M in hexane/cyclohexane, 1.1 equiv) added dropwise; ROH added as electrophile (3.0 equiv); reaction stirred 10 min at -78°C after sBuLi addition and 10 min after ROH addition"
Nagaki et al. 2010 - A flow microreactor system enables organolithium reactions without protecting alkoxycarbonyl groups,10.1002/chem.201000876,page_7_table_1_extracted.csv,7b,isopropyl m-iodobenzoate,,PhLi,,,*OC(=O)c1ccccc1,3b,0.0,GC,0.0,,,1.1 equiv,halogen-metal exchange,-78.0,600.0,tetrahydrofuran,conventional macrobatch reactor,,PhLi used as 0.42 M solution in Et2O/cyclohexane; substrate concentration 0.10 M in THF; electrophile ROH added after 10 min at -78°C; reaction quenched after additional 10 min
Nagaki et al. 2010 - A flow microreactor system enables organolithium reactions without protecting alkoxycarbonyl groups,10.1002/chem.201000876,page_7_table_1_extracted.csv,7c,ethyl m-iodobenzoate,,PhLi,,,*OC(=O)c1ccccc1,3c,0.0,GC,0.0,,,1.1 equiv,halogen-metal exchange,-78.0,600.0,tetrahydrofuran,conventional macrobatch reactor,,PhLi used as 0.42 M solution in Et2O/cyclohexane; substrate concentration 0.10 M in THF; electrophile ROH added after 10 min at -78°C; reaction quenched after additional 10 min
Nagaki et al. 2010 - A flow microreactor system enables organolithium reactions without protecting alkoxycarbonyl groups,10.1002/chem.201000876,page_7_table_1_extracted.csv,7d,methyl m-iodobenzoate,,PhLi,,,*OC(=O)c1ccccc1,3d,0.0,GC,0.0,,,1.1 equiv,halogen-metal exchange,-78.0,600.0,tetrahydrofuran,conventional macrobatch reactor,,PhLi used as 0.42 M solution in Et2O/cyclohexane; substrate concentration 0.10 M in THF; electrophile ROH added after 10 min at -78°C; reaction quenched after additional 10 min
Nagaki et al. 2010 - A flow microreactor system enables organolithium reactions without protecting alkoxycarbonyl groups,10.1002/chem.201000876,page_8_table_1_extracted.csv,8a,tert-butyl o-bromobenzoate,,sBuLi,,,*OC(=O)c1ccccc1,3a,61.0,GC,61.0,,,1.1 equiv,halogen-metal exchange,-78.0,1200.0,tetrahydrofuran,conventional macrobatch reactor,,sBuLi used as 0.42 M solution in hexane/cyclohexane; substrate concentration 0.10 M in THF; ROH added as 3.0 equiv electrophile after 10 min Br/Li exchange; reaction quenched after additional 10 min at -78°C
Nagaki et al. 2010 - A flow microreactor system enables organolithium reactions without protecting alkoxycarbonyl groups,10.1002/chem.201000876,page_8_table_1_extracted.csv,8b,isopropyl o-bromobenzoate,,sBuLi,,,*OC(=O)c1ccccc1,3b,12.0,GC,12.0,,,1.1 equiv,halogen-metal exchange,-78.0,1200.0,tetrahydrofuran,conventional macrobatch reactor,,sBuLi used as 0.42 M solution in hexane/cyclohexane; substrate concentration 0.10 M in THF; ROH added as 3.0 equiv electrophile after 10 min Br/Li exchange; reaction quenched after additional 10 min at -78°C
Nagaki et al. 2010 - A flow microreactor system enables organolithium reactions without protecting alkoxycarbonyl groups,10.1002/chem.201000876,page_8_table_1_extracted.csv,8c,ethyl o-bromobenzoate,,sBuLi,,,*OC(=O)c1ccccc1,3c,0.0,GC,0.0,,,1.1 equiv,halogen-metal exchange,-78.0,1200.0,tetrahydrofuran,conventional macrobatch reactor,,sBuLi used as 0.42 M solution in hexane/cyclohexane; substrate concentration 0.10 M in THF; ROH added as 3.0 equiv electrophile after 10 min Br/Li exchange; reaction quenched after additional 10 min at -78°C
Nagaki et al. 2010 - A flow microreactor system enables organolithium reactions without protecting alkoxycarbonyl groups,10.1002/chem.201000876,page_8_table_1_extracted.csv,8d,methyl o-bromobenzoate,,sBuLi,,,*OC(=O)c1ccccc1,3d,0.0,GC,0.0,,,1.1 equiv,halogen-metal exchange,-78.0,1200.0,tetrahydrofuran,conventional macrobatch reactor,,sBuLi used as 0.42 M solution in hexane/cyclohexane; substrate concentration 0.10 M in THF; ROH added as 3.0 equiv electrophile after 10 min Br/Li exchange; reaction quenched after additional 10 min at -78°C
"Giovine et al. 2013 - Synthesis of 1,2,3,4-tetrahydroisoquinolines by mi ... -mediated thermal isomerization of laterally lithiated arylaziridines",10.1002/chem.201203533,Table 1,4a,aziridine 1a,,sBuLi,,aziridine 4a,,4a,,isolated,,,,,directed metalation,-48.0,20.9,toluene,T-shaped micromixer + capillary reactor,,
"Giovine et al. 2013 - Synthesis of 1,2,3,4-tetrahydroisoquinolines by mi ... -mediated thermal isomerization of laterally lithiated arylaziridines",10.1002/chem.201203533,Table 1,4c,aziridine 1a,,sBuLi,,aziridine 4c,,4c,77.0,isolated,,,,,directed metalation,-48.0,20.9,toluene,T-shaped micromixer + capillary reactor,,
"Giovine et al. 2013 - Synthesis of 1,2,3,4-tetrahydroisoquinolines by mi ... -mediated thermal isomerization of laterally lithiated arylaziridines",10.1002/chem.201203533,Table 2,5a,aziridine 1a,,sBuLi,,tetrahydroisoquinoline 5a,,5a,,isolated,,,,,anionic cyclization,0.0,78.0,toluene,T-shaped micromixer + capillary reactor,,
"Giovine et al. 2013 - Synthesis of 1,2,3,4-tetrahydroisoquinolines by mi ... -mediated thermal isomerization of laterally lithiated arylaziridines",10.1002/chem.201203533,Table 3,"6a, 7a",aziridine 1b,,sBuLi,,"regioisomer mixture 6a,7a",,"6a, 7a",,isolated,,80.0,,,directed metalation,-48.0,20.9,toluene,T-shaped micromixer + capillary reactor,,
"Giovine et al. 2013 - Synthesis of 1,2,3,4-tetrahydroisoquinolines by mi ... -mediated thermal isomerization of laterally lithiated arylaziridines",10.1002/chem.201203533,Table 3,"6b, 7b",aziridine 1b,,sBuLi,,"regioisomer mixture 6b,7b",,"6b, 7b",90.0,isolated,,62.0,,,directed metalation,-48.0,20.9,toluene,T-shaped micromixer + capillary reactor,,
